"doc_id","AB","TI","DE","PY","DT","DI","LA"
"WILSON E, 2025, 2025 SILICON VALLEY CYBERSECURITY CONFERENCE, SVCC","The integration of internet connectivity into medical devices, known as the Internet of Medical Things (IoMT), is revolutionizing modern healthcare through remote monitoring and advanced diagnostics. Among these devices, the Continuous Positive Airway Pressure (CPAP) machine plays a critical role in managing patients with Sleep Apnea. However, the security of CPAP devices presents significant concerns due to potential vulnerabilities that could lead to critical failures, such as device shutdowns. An analysis was made of the device's connectivity interface, to identify potential exploit points and vulnerabilities. Additionally, we evaluated whether existing threat modeling frameworks namely the MITRE Adversarial Tactics, Techniques, and Common Knowledge (ATT&CK)- sufficiently address the threats faced by IoMT devices and propose potential extensions where needed. Our goal is to enhance the security of CPAP machines by highlighting potential threats and advocating for improved security measures by manufacturers.","Poster: Threat Intelligence & Modeling Practices for IoMT Devices using Wi-Fi Communications","Threat Intelligence; Cybersecurity; Machine Learning; IoT; IoMT",2025,"PROCEEDINGS PAPER","10.1109/SVCC65277.2025.11133634","ENGLISH"
"XI H, 2025, IET INFORM SECUR","Recent advancements in unmanned aerial vehicle (UAV) technology have facilitated its widespread adoption across a spectrum of sectors, such as commercial logistics, agricultural surveillance, industrial diagnostics, and military maneuvers. However, the widespread adoption has also engendered a burgeoning array of security concerns. Unmanned aerial systems (UAS) networks are characterized by high node mobility, unstable links, open communication environments, and limited platform resources, which in turn exhibit typical vulnerabilities in terms of cybersecurity. Most current studies on UAV cybersecurity issues tend to focus on individual UAVs, often neglecting the holistic cybersecurity of UAS. This paper outlines the composition of UAS network architecture. It summarizes the main cybersecurity challenges UAS faces within six categories-spoofing, tampering, information disclosure, denial of service (DoS), service refusal, and privilege escalation-based on the STRIDE threat model. Corresponding methods for risk mitigation and security protection strategies are proposed. Ultimately, the paper provides a perspective on the future development directions of UAS cybersecurity, aiming to offer a reference for addressing related issues in subsequent research and practice.","Enhanced Cybersecurity Framework for Unmanned Aerial Systems: A Comprehensive STRIDE-Model Analysis and Emerging Defense Strategies",NA,2025,"ARTICLE","10.1049/ise2/9637334","ENGLISH"
"BHASKAR N, 2024, ACM TRANS CYBER-PHYS","The exponential rise in popularity of distributed energy resources (DERs) is attributed to their numerous benefits within the power sector. However, the risks that new DERs pose to the power grid have not yet been closely assessed, exposing a gap in the literature. This article addresses this gap by presenting a comprehensive threat model of the DER architecture, combining the MITRE ATT&CK catalogue for industrial control systems (ICS), and the IDDIL/ATC threat model, to create a hybrid approach. Our first contribution is to propose criteria derived from seven metrics to evaluate and compare the efficacy and usability of threat modelling frameworks for DER systems, allowing more informed framework selection. Our second contribution is to develop a comprehensive hybrid threat modelling approach based on IDDIL/ATC and MITRE ATT&CK and organise attack paths chronologically using the cyber kill chain methodology to categorise attacker techniques. Our third contribution is to perform a comprehensive DER architecture system decomposition, elaborating assets, trust levels, entry points, data, protocols, and entity relations to identify the threat landscape. Our final contribution is to apply the proposed approach to the distribution system operator (DSO), mapping potential attacker techniques and illustrating a ransomware attack chain on the DSO's Energy Management System, with proposed mitigations.","A Comprehensive Threat Modelling Analysis for Distributed Energy Resources",NA,2024,"ARTICLE","10.1145/3678260","ENGLISH"
"ASADOLLAH S, 2024, J CYBERSECUR PRIV","Integration of the Internet of Things (IoT) in industrial settings necessitates robust cybersecurity measures to mitigate risks such as data leakage, vulnerability exploitation, and compromised information flows. Recent cyberattacks on critical industrial systems have highlighted the lack of threat analysis in software development processes. While existing threat modeling frameworks such as STRIDE enumerate potential security threats, they often lack detailed mapping of the sequences of threats that adversaries might exploit to apply cyberattacks. Our study proposes an enhanced approach to systematic threat modeling and data flow-based attack scenario analysis for integrating cybersecurity measures early in the development lifecycle. We enhance the STRIDE framework by extending it to include attack scenarios as sequences of threats exploited by adversaries. This extension allows us to illustrate various attack scenarios and demonstrate how these insights can aid system designers in strengthening their defenses. Our methodology prioritizes vulnerabilities based on their recurrence across various attack scenarios, offering actionable insights for enhancing system security. A case study in the automotive industry illustrates the practical application of our proposed methodology, demonstrating significant improvements in system security through proactive threat modeling and analysis of attack impacts. The results of our study provide actionable insights to improve system design and mitigate vulnerabilities.","Enhancing Cybersecurity through Comprehensive Investigation of Data Flow-Based Attack Scenarios","cybersecurity; cyberattack; attack scenario; threat modeling; STRIDE; attack impact analysis; cyber-physical system (CPS)",2024,"ARTICLE","10.3390/jcp4040039","ENGLISH"
"BOKOLO Z, 2024, SCI REP-UK","Although chatbots are used a lot for customer relationship management (CRM), there needs to be more data security and privacy control strategies in chatbots, which has become a security concern for financial services institutions. Chatbots gain access to large amounts of vital company information and clients' personal information, which makes them a target of security attacks. The loss of data stored in chatbots can cause major harm to companies and customers. In this study, STRIDE (viz. Spoofing, Tampering, Repudiation, Information disclosure, Denial of service, Elevation of privilege) modelling was applied to identify the data security vulnerabilities and threats that pertain to chatbots used in the insurance industry. To do this, we conducted a case study of a South African insurance organisation. The adopted methodology involved data collection from stakeholders in the insurance organisation to identify chatbot use cases and understand chatbot operations. After that, we conducted a STRIDE-based analysis of the chatbot use cases to elicit security threats and vulnerabilities in the insurance chatbots in the organisation. The results reveal that security vulnerabilities associated with Spoofing, Denial of Service, and Elevation of privilege are more relevant to insurance chatbots. The most security threats stem from Tampering, Elevation of privilege, and Spoofing. The study extends the discussion on chatbot security. It fosters an understanding of security threats and vulnerabilities that pertain to insurance chatbots, which is beneficial for security researchers and practitioners working on the security of chatbots and the insurance industry.","Elicitation of security threats and vulnerabilities in Insurance chatbots using STRIDE","Data security; Chatbots; Chatbot security; STRIDE; Threat modelling; Insurance; Customer relationship management; Artificial Intelligence",2024,"ARTICLE","10.1038/s41598-024-68791-z","ENGLISH"
"FOWLER S, 2024, SYSTEMS-BASEL","The Cyber Evaluation and Management Toolkit (CEMT) is an open-source university research-based plugin for commercial digital model-based systems engineering tools that streamlines conducting cybersecurity risk evaluations for complex cyber-physical systems. The authors developed this research tool to assist the Australian Defence Force (ADF) with the cybersecurity evaluation of complicated systems operating in an increasingly contested and complex cyber environment. This paper briefly outlines the functionality of the CEMT including the inputs, methodology, and outputs required to apply the toolkit using a sample model of the process applied to a generic insider threat attack. A face validity trial was conducted on the CEMT, surveying subject-matter experts in the field of complex cybersecurity analysis and risk assessment to present the generic case study and gather data on the expected benefits of a real-world implementation of the process. The results of the face validity broadly supports the effectiveness and usability of the CEMT, providing justification for industry research trials of the CEMT.","Cyber Evaluation and Management Toolkit (CEMT): Face Validity of Model-Based Cybersecurity Decision Making","cybersecurity; model-based systems engineering; CEMT; cyber; digital engineering; mission engineer; cyber-worthiness; model-based risk assessments; threat modelling",2024,"ARTICLE","10.3390/systems12070238","ENGLISH"
"DAS C P, 2024, SOFTWARE PRACT EXPER","Threat modeling is one of the foundations of secure systems engineering and must take heed of the context within which systems operate. In this work, we explore the extent to which real-world systems engineering reflects a changing threat context. We examine the desktop clients of six widely used end-to-end-encrypted mobile messaging applications to understand the extent to which they adjusted their threat model over space (when enabling clients on new platforms, such as desktop clients) and time (as new threats emerged). We experimented with short-lived adversarial access against these desktop clients and analyzed the results using two popular threat elicitation frameworks, STRIDE and LINDDUN. The results demonstrate that system designers need to track threats in the evolving context within which systems operate and, more importantly, mitigate them by rescoping trust boundaries so that they remain consistent with administrative boundaries. A nuanced understanding of the relationship between trust and administration is vital for robust security, including the provision of safe defaults.","Threat models over space and time: A case study of end-to-end-encrypted messaging applications","end to end encrypted communications; security and privacy threat modeling; security engineering",2024,"ARTICLE","10.1002/spe.3341","ENGLISH"
"ATMACA U, 2024, CHALLENGE INFO TECHN","As the space sector expands with new types of satellites, orbital systems and services, the user segment faces escalating security threats. This segment delivers crucial services for enabling interactions between users and space systems, highlighting the need for strong security mechanisms as attack surfaces widen and become more sophisticated. In particular, the adoption of artificial intelligence (AI) in the space domain brings new attack vectors that traditional methods cannot address. To systematically analyse this emerging threat landscape, this paper develops a reference architecture to model the user segment's components, communications and processes. We specifically assess the AI-impact on attack surface by constructing attack trees for Earth Observation scenarios with and without AI integration, using dedicated space and AI threat modeling frameworks (i.e., SPARTA and ATLAS). By comparing threats and impacts between these attack trees, we determine the unique security challenges introduced by exploiting AI. These insights contribute priorities for security strategies to defend against evolving AI-driven threats, as well as specify the caveats of AI-integration in the space user segment.","Emerging Threats of AI-Integration in Space User Segment: A Reference Architecture and Attack Tree Analysis","space cyber security; earth-observation; reference architecture; threat landscape; artificial intelligence",2024,"PROCEEDINGS PAPER","10.1109/SMC-IT61443.2024.00011","ENGLISH"
"BOUGHDIRI M, 2024, I C COMP SYST APPLIC","This paper proposes a new approach for blockchain applications security, leveraging threat modeling methodology and industrial cybersecurity frameworks and tools. After outlining the basic concepts of blockchain technology and its associated security risks, the paper conducts a thorough evaluation of existing works to fortify DeFi security. After that, the various stages of the proposed approach are detailed, accompanied by recommendations and insights. The proposed methodology is applied to a decentralized exchange (DEX) ecosystems use case, successfully identifying, categorizing, assessing, and proposing mitigations for 20 potential attack vectors on DEX. This work aims to offer both technical depth and intuitive perspectives, addressing key concepts, requirements, and tools. Ultimately, it serves as a valuable resource for security professionals and system architects seeking to adopt threat modeling practices for developing secure-by-design DEX applications.","A Threat Modeling Approach for Blockchain Security Assessment","DeFi; Security; STRIDE; Attack Tree; CVSS",2024,"PROCEEDINGS PAPER","10.1109/AICCSA63423.2024.10912624","ENGLISH"
"CHOWDHURY N, 2024, 2024 IEEE WORLD FORUM ON PUBLIC SAFETY TECHNOLOGY, WFPST 2024","The rise of autonomous vehicles (AV) has transformed our transportation sectors in recent years. The evolution of technology has made AVs more popular among users. The Over-The-Air (OTA) updates for AVs are widely adopted by the AV industry. These updates are used to deliver improved functionality and security patches to ensure public safety. However, this system is susceptible to security threats since the wireless communication link between the car, the manufacturer, and the cloud-based web server is inherently insecure. While there are studies that explored multiple cybersecurity frameworks and tools for OTA updates, many challenges remain unaddressed. To build a robust trustworthy system, we need to perform a thorough security analysis by creating a threat model. In this study, we use the CIAA and STRIDE threat modeling process to analyze the OTA updates security. Our analysis demonstrates numerous dangers and vulnerabilities. To increase the security of OTA updates, we also suggest several corrective mitigation steps.","How Trustworthy are Over-The-Air (OTA) Updates for Autonomous Vehicles (AV) to Ensure Public Safety?: A Threat Model-based Security Analysis","OTA Update; threat model; attacker; security; public safety",2024,"PROCEEDINGS PAPER","10.1109/WFPST58552.2024.00025","ENGLISH"
"GIAMBARTOLOMEI F, 2024, IEEE ICC","Thanks to technologies such as virtual network function the Fifth Generation (5G) of mobile networks dynamically allocate resources to different types of users in an on-demand fashion. Virtualization extends up to the 5G core, where software-defined networks and network slicing implement a customizable environment. These technologies can be controlled via application programming interfaces and web technologies, inheriting hence their security risks and settings. An attacker exploiting vulnerable implementations of the 5G core may gain privileged control of the network assets and disrupt its availability. However, there is currently no security assessment of the web security of the 5G core network. In this paper, we present the first security assessment of the 5G core from a web security perspective. We use the STRIDE threat modeling approach to define a complete list of possible threat vectors and associated attacks. Thanks to a suite of security testing tools, we cover all of these threats and test the security of the 5G core. In particular, we test the three most relevant open-source 5G core implementations, i.e., Open5GS, Free5Gc, and OpenAirInterface. Our analysis shows that all these cores are vulnerable to at least two of our identified attack vectors, demanding increased security measures in the development of future 5G core networks.","Penetration Testing of 5G Core Network Web Technologies","5G network; 5G Core; network virtualization function; Penetration testing",2024,"PROCEEDINGS PAPER","10.1109/ICC51166.2024.10622336","ENGLISH"
"GOUDARZI M, 2024, ANN CONF PRIV SECUR","IoT context-sharing platforms are an essential component of today's interconnected IoT deployments with their security affecting the entire deployment and the critical infrastructure adopting IoT. We report on a lack of systematic approach to the security of IoT context-sharing platforms and propose the need for a methodological and systematic alternative to evaluate the existing solutions and develop 'secure-by-design' solutions. We have identified the key components of a generic IoT context-sharing platform and propose using MITRE ATT&CK for threat modelling of such platforms.","Lack of Systematic Approach to Security of IoT Context Sharing Platforms","Internet of Things (IoT); IoT Security; Context-sharing Platforms; Threat Modelling",2024,"PROCEEDINGS PAPER","10.1109/PST62714.2024.10788050","ENGLISH"
"GOWDANAKATTE S, 2024, IEEE INT C S Q R S","The increasing growth of threats to Industrial Control Systems (ICS) in the energy sector puts this critical infrastructure at high risk. Consequently, holistic approaches are needed to assess the criticality of ICS assets, identify relevant security threats, and develop mitigation techniques to make the energy critical infrastructure cyber-resilient. This paper presents a methodology for analyzing the criticality and resiliency of ICS assets by assessing the impact caused by attacks on such assets. Our approach consists of modeling the ICS architecture in a form that is suitable for analysis. We use Coloured Petri Nets (CPN) for formal representation and analysis - CPN is supported by automated tools for analysis and it has been used for verification of real-world systems. We use Spoofing, Tampering, Repudiation, Information Disclosure, Denial of Service, and Elevation of Privilege (STRIDE) for evaluating the threats in the ICS architecture. We use Microsoft Threat Modeling Tool (MTMT) for ICS threat modeling that classifies the threats into the categories defined in STRIDE. Based on the type of threat on each asset and its impact on the entire ICS, we rank the asset's criticality. The threat modeling framework assesses the criticality and resiliency of tangible and intangible assets, thus addressing the gap in the current research. Threat models are also converted into CPN models. The CPN models of the ICS architecture and the threat model are then composed. The methodology then verifies the resulting CPN. This verification explores the system states where the ICS cannot resist the attacks and identifies the ICS's critical assets that have been compromised. The methodology is applied to a wind farm system comprising many distributed subsystems connected via various networks. The result shows that the methodology is practical for the ICS verification and assets criticality assessment, providing recommended mitigations to construct a robust ICS.","Assets Criticality Assessment of Industrial Control Systems: A Wind Farm Case Study","Industrial Control Systems (ICS); assets criticality assessment; wind farm system; threat models; formal methods; Coloured Petri Nets (CPN)",2024,"PROCEEDINGS PAPER","10.1109/QRS62785.2024.00042","ENGLISH"
"GROSS M, 2024, 2024 6TH INTERNATIONAL CONFERENCE ON BLOCKCHAIN COMPUTING AND APPLICATIONS, BCCA","Invoice factoring and other forms of supply chain financing are crucial to handling the risk associated with liquidity and trust in any industry. Blockchain and cryptocurrency-based systems were proposed to address the risks that still plague the industry, such as double factoring or proof of payment. This, in theory, creates a more transparent ecosystem that handles factoring arrangements faster and less erroneously. However, such systems must be thoroughly examined. Threat modeling can ensure that the systems in this area clearly know the threats they face. To date, no systematic threat modeling regarding such systems has been undertaken. In our research, we have used the attack tree and STRIDE framework to understand better the possible threats introduced into invoice factoring and supply chain financing. The subject of the analysis is a generic system architecture with the common properties of systems put forward in the literature. In our analysis, we found 40 distinct threats in total. Their distribution along the STRIDE threat categories is varied, highlighting the severe security threats at the member and admin nodes.","Blockchain-Based Invoice Factoring and Supply Chain Financing: Comprehensive Threat Analysis","invoice factoring; supply chain financing; blockchain; STRIDE; threat modeling; security; privacy",2024,"PROCEEDINGS PAPER","10.1109/BCCA62388.2024.10844436","ENGLISH"
"HAGL A, 2024, IEEEAAIA DIGIT AVION","Avionic networks use various Ethernet-based network protocols, including Ethernet according to IEEE 802.3, ARINC 664 communication and time-triggered communication according to the SAE AS6802A standard. The aim of this work is to determine the security threats of these protocols and compare their security strengths and weaknesses. Based on these findings, technical security measures are developed to improve their security. In this paper, STRIDE is used as a threat modeling method to identify security threats. Data flow diagrams are created for each of the three network protocols to model the system. A total of 45 threats are identified, these can be broken down into 33 threats affecting standard IEEE 802.3 Ethernet networks, 26 threats for ARINC 664 networks and 37 threats for time-triggered AS6802A networks. This paper proposes eleven security measures, which can mitigate 27 (60%) of the identified 45 threats.","Threat Modeling and Security Improvements for Ethernet-Based Avionic Networks",NA,2024,"PROCEEDINGS PAPER","10.1109/DASC62030.2024.10749392","ENGLISH"
"HASHMI I, 2024, IEEE ACCESS","In a smart home environment, multiple users can access a single smart device simultaneously. Moreover, these multiple users may have conflicting demands at a time; that is, one user's demands differ from another for the same device based on the role of users and environmental factors. Therefore, existing single-user access control systems cannot handle such conflicting and dynamically changing demands, considering both roles and environmental factors in the multi-user smart home environment. Considering this issue, we proposed a Smart Access Control and Authorization framework (SAAC). It is a multi-user access control solution that has four modules, namely, a user interaction module, a backend server module, a policy manager module, and a policy execution module. The user interaction module collects user data and resource policies, which are processed by the backend server and forwarded to the policy manager. The policy manager resolves conflicts and generates final policies, which are stored in the backend server for enforcement by the policy execution module. The finalized policies are shared with the backend server module and saved there till needed for execution by the policy execution module to enforce the access control decision. We have implemented a proof of concept of the proposed framework on VS Code using the Casbin library. The performance evaluation results show our framework's effectiveness and efficiency with lower computational complexity requirements than existing methods. Finally, we performed a security analysis of the proposed model based on the STRIDE model that confirms its robustness against access control attacks.","SAAC: Secure Access Control Management Framework for Multi-User Smart Home Systems","Access control; Smart homes; Smart devices; Internet of Things; Environmental factors; Servers; Dynamic scheduling; Smart home; access control; authorization; multi-user; attribute-based access control; role-based access control",2024,"ARTICLE","10.1109/ACCESS.2024.3446180","ENGLISH"
"IVANYTSKYI M, 2024, LECT NOTE NETW SYST","The unmanned aircraft system (UAS) operation depends on the weather significantly. This was the motivation to develop the decision support system that analyzes the range of factors including general and operative weather, type of aircraft, mission sensors, and area of flight to help remote pilots in their decision-making at the pre-flight stage and during the flight operation. Taking into account the cyber-physical nature of modern UAS it is important to evaluate the possible cyber risks that can be encountered during the operation of developed software. In this paper, the attack trees are built to understand how and for what reasons attacks on the software environment, database, or drone used to carry out the mission occur. The consequences of the cyber hazards are analyzed and some decisions on risk mitigations are made.","Security Analysis of Meteorological Support Software for UAS Flight Planning","UAS; Air Navigation; Weather hazards; Software; Cyber threats; Decision Support; Risk analysis",2024,"PROCEEDINGS PAPER","10.1007/978-3-031-60549-9_37","ENGLISH"
"KWARTENG E, 2024, INT SYM MED INFORM","Threat Modeling is one of the key tools used to identify cyber threats and evaluate the risks of cyber threats against Modern Medical Devices (MMDs). However, there is no existing study that investigates how MMD manufacturers utilize and perceive existing threat modeling methodologies. To address this gap, we conducted a survey involving 81 participants from many MMD manufacturing companies. Our research aims to uncover potential challenges when repurposing threat modeling methodologies-originally conceptualized for IT systems-for MMDs. Our research questions focus on understanding: which threat modeling methodologies are used; the privacy, and safety concerns of threat modeling methodologies used; and how threat model methodologies identify such issues. The study revealed that STRIDE is the most used methodology in the MMD domain. The study also discovered that satisfaction with participants' threat modeling methodologies was not significantly dependent on the effectiveness of the methodology in discovering privacy and safety issues. Privacy concerns are more likely (61%) to be a factor in participants' satisfaction with their methodology as compared to safety (46%). Through this study, we offer a fresh perspective on how threat modeling is perceived and applied in the MMD industry and yield insights into the perceived privacy and safety issues of MMDs.","Exploring Medical Device Manufacturing Domain Threat Modeling Methodologies: User Perspectives on Security, Privacy and Safety","Threat Modeling; Cybersecurity; Privacy; Safety; Implantable Medical Devices; Wearable Medical Devices; Medical Devices",2024,"PROCEEDINGS PAPER","10.1109/ISMICT61996.2024.10738169","ENGLISH"
"LECLAIR B, 2024, LECT NOTE NETW SYST","Despite increasing uptake, there are still many concerns as to the security of virtual assistant hubs (such as Google Nest and Amazon Alexa) in the home. Consumer fears have been somewhat exacerbated by widely publicised privacy breaches, and the continued prevalence of high-profile attacks targeting IoT networks. Little work has been evident to compare which threat modelling approach(es) would be most appropriate for these devices. There is therefore an opportunity to explore different threat modelling methodologies as applied to this context. Five approaches (STRIDE, CVSS, Attack/Threat Trees, LINDDUN GO, and Quantitative TMM) were compared as these were determined to be either the most prominent or potentially applicable to an IoT context. The key findings suggest that a combination of STRIDE and LINDDUN GO is optimal for elucidating threats under the pressures of a tight industry deadline cycle (with potential for elements of CVSS depending on time constraints). Such findings are useful for IoT device manufacturers seeking to optimally model threats, and educate consumers on the risks.","Threat Modelling in Virtual Assistant Hub Devices","Threat modelling; IoT threat modelling; Risk perception",2024,"PROCEEDINGS PAPER","10.1007/978-3-031-74443-3_37","ENGLISH"
"LOPUHAÄ-ZWAKENBERG M, 2024, P IEEE COMPUT SECUR","Attack Trees (ATs) are a widely used tool for security analysis. ATs can be employed in quantitative security analysis through metrics, which assign a security value to an AT. Many different AT metrics exist, and there exist multiple general definitions that aim to study a wide variety of AT metrics at once. However, these all have drawbacks: they do not capture all metrics, and they do not easily generalize to extensions of ATs. In this paper, we introduce a definition of AT metrics based on category theory, specifically operad algebras. This encompasses all previous definitions of AT metrics, and is easily generalized to extensions of ATs. Furthermore, we show that under easily expressed operad-theoretic conditions, existing metric calculation algorithms can be extended in considerable generality.","Attack tree metrics are operad algebras","Attack trees; security analysis; operads; category theory",2024,"PROCEEDINGS PAPER","10.1109/CSF61375.2024.00005","ENGLISH"
"MAODZA B, 2024, LECT NOTE NETW SYST","To meet the ever-rising food requirements around the world and mitigate the effects of climate change and shortage of agricultural land, farmers are now adopting the Agricultural Internet of Things (AIoT) for intelligent agriculture, which helps to increase farm productivity. AIoT enables a data-driven agriculture model, enabling farmers to make informed decisions. The research paper will briefly discuss the application of AIoT in crop and livestock production. Components of AIoT architecture in crop and livestock production will be identified. Threats to AIoT were modeled using Spoofing, Tampering, Repudiation, Information Disclosure, Denial of service, and Elevation of Privilege Lateral Movement (STRIDE-LM). The research identified different threats to AIoT grouped into the different STRIDE_LM categories.","Agricultural Internet of Things (AIoTs) Threat Modeling Using STRIDE-LM","Threat modelling; STRIDE-LM; Agricultural Internet of Things; Intelligent agriculture",2024,"PROCEEDINGS PAPER","10.1007/978-981-97-3302-6_24","ENGLISH"
"MUNDT M, 2024, L N INST COMP SCI SO","Whether it is an insider or an Advanced Persistent Threat (APT), sensitive data is being stolen. This year's German Federal Office for Information Security (BSI) annual report (https://www.bsi.bund.de/EN/Service-Navi/Publikationen/Lagebericht/lagebericht node.html) on the state of Information Technology's (IT) Security in Germany points to the worsening situation. A key result of the BSI is that cyber extortion attempts have become the number-one threat due to leading cyber-attacker collectives expanding their strategy. They exfiltrate data unlawfully for offsite storage before encrypting it. This year, the organizations were also being extorted for hush money and faced with the threat of disclosure of sensitive, but stolen data. Data exfiltration has become a standard procedure in almost all cases of ransomware attacks. In our work, we take up this currently most dangerous threat. First, we provide a universal definition for the operation of data exfiltration. In the next step we evaluate three frequently used methods for cyber threat intelligence: Microsoft Threat Modeling Tool, the Malware Information and Sharing Platform (MISP), and the MITRE Adversarial Tactics, Techniques and Common Knowledge (ATT&CK) framework. Our evaluation goal is to find out whether these methods allow to investigate and describe data exfiltration in an appropriate way. In particular, we search for a suitable categorization structure and semantics in order to categorize data exfiltration approaches. Given this, we carry out a systematic research, where we consider recent peer-reviewed publications from the Digital Threats: Research and Practice (DTRAP) forum in the context of data exfiltration. We categorize data exfiltration techniques as they are described in the papers. This provides an excellent indication of the focus and distribution and allows us to specifically address deficiencies and further research needs related to data exfiltration categories. Finally, we identify and choose one relevant example of a category of data exfiltration and show interactions with detection and protection measures. Our work provides an excellent assessment of the subject matter, frequently used tools and current research priorities in the context of the threat of adversarial data exfiltration.","Enhancing Incident Management by an Improved Understanding of Data Exfiltration: Definition, Evaluation, Review","Advanced Persistent Threat; Data Exfiltration; Universal Definition; Cyber Threat Intelligence; Systematic Review",2024,"PROCEEDINGS PAPER","10.1007/978-3-031-56580-9_3","ENGLISH"
"NAIK N, 2024, LECT NOTE NETW SYST-a","The proliferation of cybersecurity threats is posing substantial security risks to organisations; therefore, it requires robust countermeasures and defence mechanisms for organisational IT systems, applications and data. Threat modelling is a process of identifying, analysing, prioritising and mitigating threats and their associated vulnerabilities in a system or network. Understanding the threat modelling process, as well as its benefits and limitations, whilst selecting an appropriate threat modelling method that may assist cybersecurity experts in their comprehensive security assessments. The assessments are designed to uncover security gaps and potential threats, to develop robust countermeasures against these potential threats and strengthening the security of organisational IT systems, applications and data. This paper will present a comprehensive study concerning threat modelling including the phases involved in threat modelling, types of threat models and benefits and challenges of threat modelling. Therefore, this comprehensive study concerning threat modelling will simplify the essential terminologies of threat modelling to users in a clear and concise manner.","An Introduction to Threat Modelling: Modelling Steps, Model Types, Benefits and Challenges","Threat Modelling; Threat Models; Cyberattack; Cyberthreat; Cyber Threat; STRIDE Model; DREAD Model; VAST Model; PASTA Model; OCTAVE Model; LINDDUN Model",2024,"PROCEEDINGS PAPER","10.1007/978-3-031-74443-3_15","ENGLISH"
"RUHLÄNDER L, 2024, IEEE ACM INTL CONF C","Large Language Models (LLMs) have gained popularity since the release of ChatGPT in 2022. These systems utilize Artificial Intelligence (AI) algorithms to analyze natural language, enabling users to have sophisticated real-time conversations with them. The existing literature on LLMs is mostly focused on system design and lacks dedicated research on investigating privacy and security issues. To safeguard the interests of various stakeholders, it is crucial to understand the associated security and privacy risks of these models. Our study utilized STRIDE and LINDDUN methodologies to investigate security and privacy threats of LLMs. We presented a detailed system model of LLMs and analyzed the potential threats, vulnerabilities, security considerations, and mitigation tactics intrinsic to the design and deployment of various system components. Our comprehensive threat assessment showcases potential threats imminent to the current generation of LLMs, such as unintentional data leakage or system misuse by malicious actors. Furthermore, our study discusses the importance of proactive security measures in LLM development, deployment, and maintenance.","On the Security and Privacy Implications of Large Language Models: In-Depth Threat Analysis","Large Language Models (LLMs); STRIDE; LINDDUN; Threat Modeling; Cybersecurity; Privacy",2024,"PROCEEDINGS PAPER","10.1109/iThings-GreenCom-CPSCom-SmartData-Cybermatics62450.2024.00102","ENGLISH"
"SADLEK L, 2024, INT CONF NETW SER","Cyber threat modeling is a proactive method for identifying possible cyber attacks on network infrastructure that has a wide range of applications in security assessment, risk analysis, and threat exposure management. Popular modeling methods are kill chains and attack graphs. Kill chains divide attacks into phases, and attack graphs depict attack paths. A difficult issue is how to hierarchically model categories of cyber assets that should be used in threat models due to the variety of cyber systems in the current networks. This task should be addressed to provide automation of realistic threat modeling and interoperability with public knowledge bases, such as MITRE ATT&CK. In this paper, we propose a hierarchical modeling methodology for representing cyber assets in kill chain attack graphs. We illustrate its practical application on MITRE D3FEND's Digital Artifact Ontology. Moreover, we define how cyber assets with related attack techniques should be transformed into logical facts and attack rules. We implemented proof-of-concept software modules that can process data obtained from network and host-based monitoring together with attack rules to generate attack graphs. We evaluated the approach with data from a cyber exercise captured in a network of a digital twin organization. The results show that the approach is applicable in real-world networks and can reveal ground-truth attacks.","Hierarchical Modeling of Cyber Assets in Kill Chain Attack Graphs","attack graph; kill chain; cyber threat scenario; MITRE ATT&CK; MITRE D3FEND",2024,"PROCEEDINGS PAPER","10.23919/CNSM62983.2024.10814501","ENGLISH"
"SHEN X, 2024, PROCEEDINGS OF THE 19TH ACM ASIA CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY, ACM ASIACCS 2024","Endpoint detection and response (EDR) systems have emerged as a critical component of enterprise security solutions, effectively combating endpoint threats like APT attacks with extended lifecycles. In light of the growing significance of endpoint detection and response (EDR) systems, many cybersecurity providers have developed their own proprietary EDR solutions. It's crucial for users to assess the capabilities of these detection engines to make informed decisions about which products to choose. This is especially urgent given the market's size, which is expected to reach around 3.7 billion dollars by 2023 and is still expanding. MITRE is a leading organization in cyber threat analysis. In 2018, MITRE started to conduct annual APT emulations that cover major EDR vendors worldwide. Indicators include telemetry, detection and blocking capability, etc. Nevertheless, the evaluation results published by MITRE don't contain any further interpretations or suggestions. In this paper, we thoroughly analyzed MITRE evaluation results to gain further insights into real-world EDR systems under test. Specifically, we designed a whole-graph analysis method, which utilizes additional control flow and data flow information to measure the performance of EDR systems. Besides, we analyze MITRE evaluation's results over multiple years from various aspects, including detection coverage, detection confidence, detection modifier, data source, compatibility, etc. Through the above studies, we have compiled a thorough summary of our findings and gained valuable insights from the evaluation results. We believe these summaries and insights can assist researchers, practitioners, and vendors in better understanding the strengths and limitations of mainstream EDR products.","Decoding the MITRE Engenuity ATT&CK Enterprise Evaluation: An Analysis of EDR Performance in Real-World Environments","EDR System Evaluation; APT Emulation; Measurement Study",2024,"PROCEEDINGS PAPER","10.1145/3634737.3645012","ENGLISH"
